clip,offset_s,survival,mean_survival_s,n,window_s
ACCAD_Male2MartialArtsKicks_c3d_G3_-_front_kick_poses_120_jpos,2.0,1.0,0.28,8,0.28
ACCAD_Male2MartialArtsKicks_c3d_G3_-_front_kick_poses_120_jpos,3.0,1.0,0.04,8,0.04
ACCAD_Male2MartialArtsKicks_c3d_G3_-_front_kick_poses_120_jpos,4.0,1.0,0.04,8,0.04
ACCAD_Male2MartialArtsKicks_c3d_G3_-_front_kick_poses_120_jpos,6.0,1.0,0.04,8,0.04
ACCAD_Male2MartialArtsKicks_c3d_G3_-_front_kick_poses_120_jpos,8.0,1.0,0.04,8,0.04
ACCAD_Male2MartialArtsKicks_c3d_G3_-_front_kick_poses_120_jpos,mean,0.8571,,56,3.0
CMU_108_108_18_poses_120_jpos,0.0,0.0,1.033,8,2.06
CMU_108_108_18_poses_120_jpos,1.0,1.0,1.04,8,1.04
CMU_108_108_18_poses_120_jpos,2.0,1.0,0.06,8,0.06
CMU_108_108_18_poses_120_jpos,3.0,1.0,0.04,8,0.04
CMU_108_108_18_poses_120_jpos,4.0,1.0,0.04,8,0.04
CMU_108_108_18_poses_120_jpos,6.0,1.0,0.04,8,0.04
CMU_108_108_18_poses_120_jpos,8.0,1.0,0.04,8,0.04
CMU_108_108_18_poses_120_jpos,mean,0.8571,,56,3.0
Eyes_Japan_Dataset_aita_walk-06-catwalk-aita_poses_120_jpos,0.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_aita_walk-06-catwalk-aita_poses_120_jpos,1.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_aita_walk-06-catwalk-aita_poses_120_jpos,2.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_aita_walk-06-catwalk-aita_poses_120_jpos,3.0,0.875,2.895,8,3.0
Eyes_Japan_Dataset_aita_walk-06-catwalk-aita_poses_120_jpos,4.0,0.875,2.767,8,3.0
Eyes_Japan_Dataset_aita_walk-06-catwalk-aita_poses_120_jpos,6.0,0.75,2.923,8,3.0
Eyes_Japan_Dataset_aita_walk-06-catwalk-aita_poses_120_jpos,8.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_aita_walk-06-catwalk-aita_poses_120_jpos,mean,0.9286,,56,3.0
BMLmovi_Subject_45_F_MoSh_Subject_45_F_19_poses_120_jpos,0.0,1.0,3.0,8,3.0
BMLmovi_Subject_45_F_MoSh_Subject_45_F_19_poses_120_jpos,1.0,1.0,2.7,8,2.7
BMLmovi_Subject_45_F_MoSh_Subject_45_F_19_poses_120_jpos,2.0,1.0,1.7,8,1.7
BMLmovi_Subject_45_F_MoSh_Subject_45_F_19_poses_120_jpos,3.0,1.0,0.7,8,0.7
BMLmovi_Subject_45_F_MoSh_Subject_45_F_19_poses_120_jpos,4.0,1.0,0.04,8,0.04
BMLmovi_Subject_45_F_MoSh_Subject_45_F_19_poses_120_jpos,6.0,1.0,0.04,8,0.04
BMLmovi_Subject_45_F_MoSh_Subject_45_F_19_poses_120_jpos,8.0,1.0,0.04,8,0.04
BMLmovi_Subject_45_F_MoSh_Subject_45_F_19_poses_120_jpos,mean,1.0,,56,3.0
Eyes_Japan_Dataset_ichige_soccer-29-heel_lift-ichige_poses_120_jpos,0.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_ichige_soccer-29-heel_lift-ichige_poses_120_jpos,1.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_ichige_soccer-29-heel_lift-ichige_poses_120_jpos,2.0,0.0,2.635,8,3.0
Eyes_Japan_Dataset_ichige_soccer-29-heel_lift-ichige_poses_120_jpos,3.0,0.0,1.638,8,3.0
