clip,category,knn100,knn800,logdens100,logdens800,catmass100,catmass800,dlogdens,dknn
KIT_10_WalkInClockwiseCircle08_poses_100_jpos,locomotion,2.829458247570528,1.2037226292374057,-2.5451113152349545,-1.8139892363457104,0.622638813930601,0.5265756817306684,0.7311220788892441,-1.6257356183331222
ACCAD_Male1Walking_c3d_Walk_B23_-_Side_step_right_poses_120_jpos,locomotion,1.9809020965563988,1.442209970316299,-1.7409050806880795,-1.1014690161293756,0.622638813930601,0.5265756817306684,0.6394360645587038,-0.5386921262400999
BMLhandball_S07_Expert_Trial_upper_right_180_poses_120_jpos,locomotion,2.709261431586209,1.2994569087250107,-2.957155636906254,-2.256362912832735,0.622638813930601,0.5265756817306684,0.7007927240735192,-1.4098045228611984
CMU_122_122_15_poses_120_jpos,locomotion,1.8025130834470928,1.0770326083515418,-1.9257936364563697,-1.2332639205728524,0.622638813930601,0.5265756817306684,0.6925297158835173,-0.725480475095551
KIT_513_kick07_poses_100_jpos,locomotion,2.327214603857729,1.2813309385961045,-2.2091685207608673,-1.534840330334138,0.622638813930601,0.5265756817306684,0.6743281904267293,-1.0458836652616244
GRAB_s3_eyeglasses_clean_1,locomotion,1.4155342311479742,0.8433522724190088,-1.592863898331012,-0.9355530374513115,0.622638813930601,0.5265756817306684,0.6573108608797005,-0.5721819587289654
KIT_3_kneel_down_with_right_hand03_poses_100_jpos,ground,3.804001257479483,1.5522340810154098,-3.19126123155297,-2.410416557830133,0.0317311660687641,0.006707914726782652,0.7808446737228372,-2.251767176464073
KIT_425_bend_left06_poses_100_jpos,locomotion,2.295573640108457,0.8055400698754376,-2.1972470427859867,-1.4899720242632848,0.622638813930601,0.5265756817306684,0.7072750185227019,-1.4900335702330194
KIT_424_walking_fast08_poses_100_jpos,locomotion,1.9273165706359852,0.8442405590695371,-1.9489433287113507,-1.2448671141240486,0.622638813930601,0.5265756817306684,0.7040762145873021,-1.083076011566448
GRAB_s7_stapler_staple_1,locomotion,1.9540525273588927,1.106391770885946,-2.071687713230665,-1.3904294889364508,0.622638813930601,0.5265756817306684,0.6812582242942142,-0.8476607564729466
CMU_122_122_03_poses_120_jpos,locomotion,1.825115726368972,1.2928293287242272,-1.7108501914503669,-1.0168680838322681,0.622638813930601,0.5265756817306684,0.6939821076180988,-0.5322863976447447
GRAB_s3_waterbottle_pick_all,locomotion,1.2061836818228944,0.9302825569195352,-1.4895606470118716,-0.8506341276435719,0.622638813930601,0.5265756817306684,0.6389265193682997,-0.27590112490335916
KIT_675_walk_with_table_left04_poses_100_jpos,locomotion,1.6181198216835777,0.8545532393531362,-2.072350989166853,-1.3030788141448608,0.622638813930601,0.5265756817306684,0.7692721750219922,-0.7635665823304415
KIT_3_seesaw07_poses_100_jpos,locomotion,1.1198955918232236,0.8525001801281935,-1.6183936290927734,-0.9495011780228181,0.622638813930601,0.5265756817306684,0.6688924510699553,-0.2673954116950301
CMU_137_137_36_poses_120_jpos,locomotion,2.4589673234038507,1.4428816943321614,-2.6172783746192825,-1.754584731220358,0.622638813930601,0.5265756817306684,0.8626936433989245,-1.0160856290716893
KIT_8_RightTurn03_poses_100_jpos,locomotion,1.5018207982288818,0.6824345850526928,-1.9416293890107734,-1.2913930117629013,0.622638813930601,0.5265756817306684,0.6502363772478721,-0.819386213176189
KIT_424_seesaw04_poses_100_jpos,locomotion,1.3788459862964864,0.8691998446374427,-1.7926932836136322,-1.0806660615646337,0.622638813930601,0.5265756817306684,0.7120272220489985,-0.5096461416590436
