clip,offset_s,survival,mean_survival_s,n,window_s
CMU_133_133_01_poses_120_jpos,1.0,1.0,3.0,8,3.0
CMU_133_133_01_poses_120_jpos,2.0,0.0,2.095,8,3.0
CMU_133_133_01_poses_120_jpos,3.0,0.0,1.342,8,3.0
CMU_133_133_01_poses_120_jpos,4.0,0.0,0.655,8,3.0
CMU_133_133_01_poses_120_jpos,6.0,0.0,0.57,8,3.0
CMU_133_133_01_poses_120_jpos,8.0,0.0,0.37,8,3.0
CMU_133_133_01_poses_120_jpos,mean,0.2857,,56,3.0
CMU_133_133_02_poses_120_jpos,0.0,1.0,3.0,8,3.0
CMU_133_133_02_poses_120_jpos,1.0,0.0,2.155,8,3.0
CMU_133_133_02_poses_120_jpos,2.0,0.0,1.26,8,3.0
CMU_133_133_02_poses_120_jpos,3.0,0.0,0.405,8,3.0
CMU_133_133_02_poses_120_jpos,4.0,0.0,0.902,8,3.0
CMU_133_133_02_poses_120_jpos,6.0,0.0,0.602,8,3.0
CMU_133_133_02_poses_120_jpos,8.0,0.0,0.34,8,3.0
CMU_133_133_02_poses_120_jpos,mean,0.1429,,56,3.0
CMU_82_82_05_poses_120_jpos,0.0,0.0,0.438,8,3.0
CMU_82_82_05_poses_120_jpos,1.0,0.0,0.375,8,3.0
CMU_82_82_05_poses_120_jpos,2.0,0.0,0.305,8,3.0
CMU_82_82_05_poses_120_jpos,3.0,0.0,0.305,8,3.0
CMU_82_82_05_poses_120_jpos,4.0,0.0,0.308,8,3.0
CMU_82_82_05_poses_120_jpos,6.0,0.0,0.272,8,3.0
CMU_82_82_05_poses_120_jpos,8.0,0.0,0.382,8,3.0
CMU_82_82_05_poses_120_jpos,mean,0.0,,56,3.0
CMU_89_89_01_poses_60_jpos,0.0,1.0,3.0,8,3.0
CMU_89_89_01_poses_60_jpos,1.0,1.0,3.0,8,3.0
CMU_89_89_01_poses_60_jpos,2.0,1.0,3.0,8,3.0
CMU_89_89_01_poses_60_jpos,3.0,1.0,3.0,8,3.0
CMU_89_89_01_poses_60_jpos,4.0,1.0,3.0,8,3.0
