clip,tax_fraction
BMLmovi_Subject_8_F_MoSh_Subject_8_F_8_poses_120_jpos,0.3273
CMU_102_102_29_poses_120_jpos,0.0299
CMU_106_106_04_poses_60_jpos,0.0175
CMU_106_106_13_poses_60_jpos,0.0000
CMU_108_108_15_poses_120_jpos,0.0946
CMU_108_108_16_poses_120_jpos,0.0946
CMU_108_108_18_poses_120_jpos,0.0000
CMU_108_108_24_poses_120_jpos,0.3874
CMU_118_118_19_poses_120_jpos,0.6406
CMU_122_122_03_poses_120_jpos,0.1714
CMU_122_122_15_poses_120_jpos,0.0826
CMU_122_122_55_poses_120_jpos,0.0000
CMU_127_127_10_poses_120_jpos,0.0000
CMU_127_127_13_poses_120_jpos,0.0000
CMU_127_127_15_poses_120_jpos,0.0294
CMU_127_127_16_poses_120_jpos,0.0185
CMU_131_131_01_poses_120_jpos,0.2174
CMU_135_135_02_poses_120_jpos,0.1965
CMU_137_137_36_poses_120_jpos,0.0826
CMU_138_138_10_poses_120_jpos,0.0110
CMU_138_138_25_poses_120_jpos,0.0133
CMU_139_139_11_poses_60_jpos,0.1579
CMU_144_144_04_poses_120_jpos,0.0000
CMU_16_16_35_poses_120_jpos,0.0000
CMU_18_19_Justin_18_03_poses_120_jpos,0.0081
CMU_18_19_Justin_18_04_poses_120_jpos,0.0000
CMU_18_19_Justin_18_11_poses_120_jpos,0.0000
CMU_20_21_Justin1_20_09_poses_120_jpos,0.0074
CMU_20_21_rory1_20_10_poses_120_jpos,0.0000
CMU_30_30_02_poses_120_jpos,0.6036
CMU_35_35_03_poses_120_jpos,0.0000
CMU_35_35_18_poses_120_jpos,0.0000
CMU_35_35_20_poses_120_jpos,0.0000
CMU_35_35_21_poses_120_jpos,0.0000
CMU_35_35_24_poses_120_jpos,0.0000
CMU_35_35_25_poses_120_jpos,0.0000
CMU_35_35_26_poses_120_jpos,0.0000
CMU_54_54_24_poses_120_jpos,0.0054
CMU_55_55_15_poses_120_jpos,0.0495
CMU_64_64_09_poses_120_jpos,0.8617
CMU_74_74_10_poses_60_jpos,0.0000
CMU_75_75_11_poses_60_jpos,0.2055
CMU_75_75_12_poses_60_jpos,0.1865
CMU_76_76_02_poses_120_jpos,0.1893
CMU_76_76_03_poses_120_jpos,0.4027
CMU_78_78_31_poses_120_jpos,0.0599
CMU_78_78_35_poses_120_jpos,0.1087
CMU_79_79_55_poses_60_jpos,0.3109
CMU_88_88_10_poses_60_jpos,0.0000
CMU_91_91_04_poses_120_jpos,0.2373
CMU_91_91_43_poses_120_jpos,0.3958
CMU_93_93_08_poses_60_jpos,0.1250
DFaust_67_50007_50007_running_on_spot_poses_60_jpos,0.0088
DFaust_67_50020_50020_one_leg_loose_poses_60_jpos,0.0000
DFaust_67_50020_50020_punching_poses_60_jpos,0.0000
DFaust_67_50022_50022_shake_hips_poses_60_jpos,0.0000
DFaust_67_50025_50025_light_hopping_loose_poses_60_jpos,0.0761
DFaust_67_50025_50025_one_leg_jump_poses_60_jpos,0.0000
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,0.0000
DFaust_67_50027_50027_one_leg_jump_poses_60_jpos,0.0926
DanceDB_20180501_CliodelaVara_CLIO_Dimitroula_1_poses_120_jpos,0.0832
DanceDB_20180501_CliodelaVara_CLIO_Rasopoulos_poses_120_jpos,0.1544
Eyes_Japan_Dataset_aita_pose-04-drank-aita_poses_120_jpos,0.6453
Eyes_Japan_Dataset_aita_walk-01-normal-aita_poses_120_jpos,0.3040
Eyes_Japan_Dataset_aita_walk-06-catwalk-aita_poses_120_jpos,0.1760
Eyes_Japan_Dataset_hamada_accident-06-damage_left_leg-hamada_poses_120_jpos,0.6546
Eyes_Japan_Dataset_hamada_gesture_etc-02-set_2-hamada_poses_120_jpos,0.5624
Eyes_Japan_Dataset_hamada_gesture_etc-14-apologize-hamada_poses_120_jpos,0.7433
Eyes_Japan_Dataset_hamada_jump-02-leap-hamada_poses_120_jpos,0.3120
Eyes_Japan_Dataset_hamada_jump-07-rope_double-hamada_poses_120_jpos,0.0333
Eyes_Japan_Dataset_hamada_jump-09-rope_cross-hamada_poses_120_jpos,0.0773
Eyes_Japan_Dataset_hamada_jump-12-boxer_step-hamada_poses_120_jpos,0.0333
Eyes_Japan_Dataset_hamada_sitdown_standup-05-straight-hamada_poses_120_jpos,0.7733
Eyes_Japan_Dataset_ichige_soccer-29-heel_lift-ichige_poses_120_jpos,0.2325
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,0.2533
Eyes_Japan_Dataset_kaiwa_accident-05-damage_right_arm-kaiwa_poses_120_jpos,0.8333
Eyes_Japan_Dataset_kaiwa_gesture_etc-41-mosh-kaiwa_poses_120_jpos,0.0560
Eyes_Japan_Dataset_kaiwa_gesture_etc-48-medium_drum-kaiwa_poses_120_jpos,0.6467
Eyes_Japan_Dataset_kaiwa_jump-04-horizontal-kaiwa_poses_120_jpos,0.3853
Eyes_Japan_Dataset_kaiwa_walk-29-look_down-kaiwa_poses_120_jpos,0.1689
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,0.6734
Eyes_Japan_Dataset_kanno_accident-03-damage_head-kanno_poses_120_jpos,0.5417
Eyes_Japan_Dataset_kanno_gesture_etc-50-syuriken-kanno_poses_120_jpos,0.0024
Eyes_Japan_Dataset_kanno_pose-19-funny-kanno_poses_120_jpos,0.6586
Eyes_Japan_Dataset_kawaguchi_accident-02-dodge_fast-kawaguchi_poses_120_jpos,0.1353
Eyes_Japan_Dataset_kawaguchi_gesture_etc-39-giant_baba-kawaguchi_poses_120_jpos,0.0434
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,0.0542
Eyes_Japan_Dataset_kawaguchi_throw_toss-05-both_hands_over_heavy-kawaguchi_poses_120_jpos,0.0081
Eyes_Japan_Dataset_kawaguchi_turn-05-turn-kawaguchi_poses_120_jpos,0.0179
Eyes_Japan_Dataset_kudo_greeting-09-certificate-kudo_poses_250_jpos,0.1855
Eyes_Japan_Dataset_kudo_jump-04-horizontal-kudo_poses_250_jpos,0.0945
Eyes_Japan_Dataset_takiguchi_accident-11-fall_down-takiguchi_poses_120_jpos,0.3906
Eyes_Japan_Dataset_takiguchi_jump-05-rope_normal_run-takiguchi_poses_120_jpos,0.0290
Eyes_Japan_Dataset_takiguchi_walk-07-moonwalk-takiguchi_poses_250_jpos,0.3636
Eyes_Japan_Dataset_yamaoka_tennis-18-catch_netball-yamaoka_poses_120_jpos,0.0784
GRAB_s10_lightbulb_pass_1,0.2222
GRAB_s1_toothpaste_pick_all,0.3142
GRAB_s2_stanfordbunny_pick_all,0.0000
GRAB_s3_eyeglasses_clean_1,0.2948
GRAB_s3_mug_drink_2,0.0291
GRAB_s3_mug_drink_3,0.1571
GRAB_s3_waterbottle_pick_all,0.0847
GRAB_s4_apple_pick_all,0.4282
GRAB_s4_banana_pass_1,0.2074
GRAB_s5_cylinderlarge_inspect_1,0.0917
GRAB_s5_spherelarge_pick_all,0.0440
GRAB_s6_alarmclock_see_1,0.3503
GRAB_s6_hammer_use_2,0.2180
GRAB_s6_mouse_pick_all,0.4361
GRAB_s6_spherelarge_pick_all,0.1098
GRAB_s7_stapler_staple_1,0.1139
GRAB_s8_fryingpan_cook_2,0.0000
GRAB_s8_toruslarge_inspect_1,0.0000
GRAB_s9_stapler_pass_1,0.0000
KIT_10_WalkInClockwiseCircle08_poses_100_jpos,0.2267
KIT_1226_Trial_45_poses_100_jpos,0.1600
KIT_1229_hand_through_hair_right_arm_02_poses_100_jpos,0.8842
KIT_1487_stirring_in_the_bowl07_poses_100_jpos,0.4796
KIT_167_turn_right05_poses_100_jpos,0.1210
KIT_1717_displace_from_left_to_right_14_poses_100_jpos,0.1270
KIT_1747_displace_tilt_side_13_poses_100_jpos,0.0773
KIT_291_shake_hand05_poses_100_jpos,1.0000
KIT_359_walking_medium03_poses_100_jpos,0.6818
KIT_379_push_recovery_left05_poses_100_jpos,0.2945
KIT_3_golf_drive02_poses_100_jpos,0.3188
KIT_3_kneel_down_with_right_hand03_poses_100_jpos,0.0811
KIT_3_seesaw07_poses_100_jpos,0.4432
KIT_3_stomp_right02_poses_100_jpos,0.4341
KIT_3_walk_with_support04_poses_100_jpos,0.0414
KIT_3_walking_medium08_poses_100_jpos,0.4593
KIT_3_wave_left01_poses_100_jpos,0.5047
KIT_3_wave_left05_poses_100_jpos,0.3299
KIT_421_push_recovery_stand_left03_poses_100_jpos,0.3067
KIT_424_seesaw04_poses_100_jpos,0.7317
KIT_424_walking_fast08_poses_100_jpos,0.6129
KIT_425_bend_left06_poses_100_jpos,0.4393
KIT_513_kick07_poses_100_jpos,0.3444
KIT_551_mixing_bowl_big03_poses_100_jpos,0.0058
KIT_572_throw_left04_poses_100_jpos,0.0300
KIT_572_violin_left08_poses_100_jpos,0.0000
KIT_572_wave_left10_poses_100_jpos,0.0000
KIT_572_wipe_circular_left07_poses_100_jpos,0.0000
KIT_674_dry_front02_poses_100_jpos,0.2744
KIT_675_walk_with_table_left04_poses_100_jpos,0.0190
KIT_883_wipe_leg_bigcircle01_poses_100_jpos,0.0000
KIT_8_RightTurn03_poses_100_jpos,0.4058
KIT_8_WalkingStraightForwards09_poses_100_jpos,0.4500
KIT_950_Wipe_Back_Small_Circle_01_poses_100_jpos,0.6290
KIT_950_Wipe_Head_Horizontal_01_poses_100_jpos,0.5992
KIT_969_Trial_30_poses_100_jpos,0.3084
KIT_9_LeftTurn06_poses_100_jpos,0.2645
SFU_0015_0015_BasicKendo001_poses_120_jpos,0.1807
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,0.1722
Transitions_mocap_mazen_c3d_kick_walk_poses_120_jpos,0.0331
Transitions_mocap_mazen_c3d_twistdance_walk_poses_120_jpos,0.0244
