clip,offset_s,survival,mean_survival_s,n,window_s
BMLmovi_Subject_55_F_MoSh_Subject_55_F_6_poses_120_jpos,3.0,1.0,3.0,8,3.0
BMLmovi_Subject_55_F_MoSh_Subject_55_F_6_poses_120_jpos,4.0,1.0,2.38,8,2.38
BMLmovi_Subject_55_F_MoSh_Subject_55_F_6_poses_120_jpos,6.0,1.0,0.38,8,0.38
BMLmovi_Subject_55_F_MoSh_Subject_55_F_6_poses_120_jpos,8.0,1.0,0.04,8,0.04
BMLmovi_Subject_55_F_MoSh_Subject_55_F_6_poses_120_jpos,mean,0.9821,,56,3.0
BMLmovi_Subject_57_F_MoSh_Subject_57_F_4_poses_120_jpos,0.0,1.0,3.0,8,3.0
BMLmovi_Subject_57_F_MoSh_Subject_57_F_4_poses_120_jpos,1.0,0.875,2.745,8,3.0
BMLmovi_Subject_57_F_MoSh_Subject_57_F_4_poses_120_jpos,2.0,1.0,3.0,8,3.0
BMLmovi_Subject_57_F_MoSh_Subject_57_F_4_poses_120_jpos,3.0,1.0,3.0,8,3.0
BMLmovi_Subject_57_F_MoSh_Subject_57_F_4_poses_120_jpos,4.0,1.0,3.0,8,3.0
BMLmovi_Subject_57_F_MoSh_Subject_57_F_4_poses_120_jpos,6.0,1.0,3.0,8,3.0
BMLmovi_Subject_57_F_MoSh_Subject_57_F_4_poses_120_jpos,8.0,1.0,1.9,8,1.9
BMLmovi_Subject_57_F_MoSh_Subject_57_F_4_poses_120_jpos,mean,0.9821,,56,3.0
BMLmovi_Subject_64_F_MoSh_Subject_64_F_5_poses_120_jpos,0.0,1.0,3.0,8,3.0
BMLmovi_Subject_64_F_MoSh_Subject_64_F_5_poses_120_jpos,1.0,1.0,3.0,8,3.0
BMLmovi_Subject_64_F_MoSh_Subject_64_F_5_poses_120_jpos,2.0,1.0,3.0,8,3.0
BMLmovi_Subject_64_F_MoSh_Subject_64_F_5_poses_120_jpos,3.0,1.0,3.0,8,3.0
BMLmovi_Subject_64_F_MoSh_Subject_64_F_5_poses_120_jpos,4.0,1.0,2.8,8,2.8
BMLmovi_Subject_64_F_MoSh_Subject_64_F_5_poses_120_jpos,6.0,1.0,0.78,8,0.78
BMLmovi_Subject_64_F_MoSh_Subject_64_F_5_poses_120_jpos,8.0,1.0,0.04,8,0.04
