motion_key,num_frames,fps,airborne_frac,infeasible_frac,unsupported_force_N_p50,unsupported_force_N_p95,unsupported_force_N_max,unsupported_impulse_per_weight_s,max_tau_ratio_p95,torque_infeasible_frac,schema_version,robot_sha256,source_sha256,num_evaluable_frames,num_contact_free_frames,duration_s,body_weight_N,foot_gap_m_p50,foot_gap_m_p05,mean_contacts,max_tau_ratio_max,torque_saturated_frac,mjcf_path,thr_gap_m,thr_mu,thr_unsupported_force_frac
crouch_ff_loop_360_002__A146_M,290,50,0.0,0.0,0.0,0.0,9.792335151737316,0.0016196862701307578,1.1086071708641463,0.2482758620689655,1,15a330f1dbff68cdbeb8284be6162a857bdcd21a858f65a8617fb32d5115f209,4abfdc1e64a0dc0d9852f4ee98b099b5cd4a7524ac7194bfb2df6b5b6be5f3c6,218,0,5.8,327.07660302000005,-0.004059786013371375,-0.007548418698837007,11.182758620689656,1.1828371163690312,0.25517241379310346,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/robot_description/mjcf/g1_29dof_rev_1_0.xml,0.06,0.7,0.5
crouch_ff_loop_360_003__A127,337,50,0.0,0.0,0.0,16.81410830645776,63.36219340516956,0.05003405036374725,0.8832392949403464,0.002967359050445104,1,15a330f1dbff68cdbeb8284be6162a857bdcd21a858f65a8617fb32d5115f209,d85a8a5dee33e54649386affe6a4d3bd726cb2054895b6c8989424814165b68a,336,0,6.74,327.07660302000005,-0.001258155005903541,-0.02068427659989503,10.359050445103858,1.0120347364082258,0.002967359050445104,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/robot_description/mjcf/g1_29dof_rev_1_0.xml,0.06,0.7,0.5
crouch_ff_loop_360_R_003__A244_M,294,50,0.0,0.0,0.0,14.51674282729229,27.540754260608423,0.03360733043675695,1.1623519207112694,0.0,1,15a330f1dbff68cdbeb8284be6162a857bdcd21a858f65a8617fb32d5115f209,e750d70db413ff8dde6013fd20cd20010d15ac174d4c8b451acb3e16317c1a8c,294,0,5.88,327.07660302000005,-0.005737040630846616,-0.02325706615905913,9.489795918367347,1.2492851721676477,0.1598639455782313,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/robot_description/mjcf/g1_29dof_rev_1_0.xml,0.06,0.7,0.5
crouch_ff_start_180_R_102__A127_M,300,50,0.0,0.0,0.0,8.674332385656949e-14,23.363727579601385,0.007158579375440596,0.811286008487444,0.0,1,15a330f1dbff68cdbeb8284be6162a857bdcd21a858f65a8617fb32d5115f209,fc33188af38a3ac2e1ba50a307230597f932103d9b36a3cd131b91db7d962a59,300,0,6.0,327.07660302000005,0.001456942659228769,-0.007365258139969401,8.81,0.8618907262025397,0.0,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/robot_description/mjcf/g1_29dof_rev_1_0.xml,0.06,0.7,0.5
crouch_ff_start_225_002__A147,215,50,0.0,0.0,0.0,1.1391801389429746e-13,15.536830367078707,0.0026049986430644978,0.758214521587923,0.0,1,15a330f1dbff68cdbeb8284be6162a857bdcd21a858f65a8617fb32d5115f209,0a116b2cef3bd2c9a4ad0ff7bfe24c659ff75c458c4e171341bc328844de3ce5,215,0,4.3,327.07660302000005,-0.0024832610259086464,-0.026325685669749372,9.111627906976745,0.8558293450131452,0.0,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/robot_description/mjcf/g1_29dof_rev_1_0.xml,0.06,0.7,0.5
crouch_ff_start_225_R_001__A248_M,230,50,0.0,0.0,0.0,11.565491589662777,39.5382136980802,0.02017099743747677,1.0293447120448989,0.0,1,15a330f1dbff68cdbeb8284be6162a857bdcd21a858f65a8617fb32d5115f209,dd52c5ee66b2b1ab5f01a9809c741a9824a8d7f9d25d39c5b31a242a45f48f95,230,0,4.6000000000000005,327.07660302000005,0.0018400350738144349,-0.016311512588856786,9.756521739130434,1.242530909497482,0.05652173913043478,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/robot_description/mjcf/g1_29dof_rev_1_0.xml,0.06,0.7,0.5
crouch_ff_start_225_R_001__A529_M,317,50,0.0,0.0,0.0,13.491355084939412,27.185916399526953,0.03399319501230307,1.0028585373916077,0.0,1,15a330f1dbff68cdbeb8284be6162a857bdcd21a858f65a8617fb32d5115f209,abf74b97d1f29f787d2e57df4f8ca591dc7f2c251b2c6740196d5675f113aa2b,317,0,6.34,327.07660302000005,-0.0010297661770076695,-0.026290099538766556,9.706624605678233,1.2108801400895837,0.056782334384858045,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/robot_description/mjcf/g1_29dof_rev_1_0.xml,0.06,0.7,0.5
crouch_ff_start_225_R_003__A195_M,232,50,0.0,0.0,0.0,4.244103769023981,7.517826225941619,0.012240632725227157,1.0665843063389566,0.0,1,15a330f1dbff68cdbeb8284be6162a857bdcd21a858f65a8617fb32d5115f209,85d0e62efb036b959b33a91a743933d7cceb3a4d14297395d68a686501f8dc49,232,0,4.64,327.07660302000005,-0.002597245175317199,-0.02718422280733676,10.155172413793103,1.5184655634565642,0.08189655172413793,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/robot_description/mjcf/g1_29dof_rev_1_0.xml,0.06,0.7,0.5
crouch_ff_start_270_003__A146,270,50,0.0,0.0,0.0,21.089364286600432,39.90502109501396,0.05158467572885158,0.8797214823209549,0.0,1,15a330f1dbff68cdbeb8284be6162a857bdcd21a858f65a8617fb32d5115f209,ee1ef318c53d0501fe9485072b11262452648a5a7d9b7642dd15c7a96c1da49c,270,0,5.4,327.07660302000005,-0.0046749259498187505,-0.016432951644869596,9.777777777777779,1.0765858942856033,0.011111111111111112,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/robot_description/mjcf/g1_29dof_rev_1_0.xml,0.06,0.7,0.5
crouch_ff_start_270_003__A147_M,314,50,0.0,0.0,0.0,0.810080856889757,24.765994408880008,0.012023266806420945,0.7277001246305418,0.0,1,15a330f1dbff68cdbeb8284be6162a857bdcd21a858f65a8617fb32d5115f209,d7ba77e138de1bdc80ead38fc7e331608568a5c38d56b1a85a72b059f184d9c8,314,0,6.28,327.07660302000005,-0.007059627545862666,-0.02268412532041741,9.64968152866242,1.3723057573756758,0.025477707006369428,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/robot_description/mjcf/g1_29dof_rev_1_0.xml,0.06,0.7,0.5
