clip,offset_s,survival,mean_survival_s,n,window_s,effort_sat_mean,effort_sat_peak,effort_sat_at_end
Eyes_Japan_Dataset_kanno_pose-11-bended_knees-kanno_poses_120_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_kanno_pose-11-bended_knees-kanno_poses_120_jpos,1.0,1.0,3.0,8,3.0,6e-05,0.00431,0.00431
Eyes_Japan_Dataset_kanno_pose-11-bended_knees-kanno_poses_120_jpos,2.0,0.0,2.358,8,3.0,0.00049,0.04741,0.0431
Eyes_Japan_Dataset_kanno_pose-11-bended_knees-kanno_poses_120_jpos,3.0,0.0,1.33,8,3.0,0.0009,0.05172,0.04741
Eyes_Japan_Dataset_kanno_pose-11-bended_knees-kanno_poses_120_jpos,4.0,0.0,0.295,8,3.0,0.00234,0.03017,0.02586
Eyes_Japan_Dataset_kanno_pose-11-bended_knees-kanno_poses_120_jpos,6.0,0.0,0.44,8,3.0,0.00592,0.05172,0.03448
Eyes_Japan_Dataset_kanno_pose-11-bended_knees-kanno_poses_120_jpos,8.0,0.0,0.38,8,3.0,0.00569,0.06034,0.04741
Eyes_Japan_Dataset_kanno_pose-11-bended_knees-kanno_poses_120_jpos,mean,0.2857,,56,3.0,0.0022,,
Eyes_Japan_Dataset_kanno_sitdown_standup-11-one_knee_drawn_up-kanno_poses_120_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_kanno_sitdown_standup-11-one_knee_drawn_up-kanno_poses_120_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
