clip,offset_s,survival,mean_survival_s,n,window_s,effort_sat_mean,effort_sat_peak,effort_sat_at_end
CMU_115_115_06_poses_60_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
CMU_115_115_06_poses_60_jpos,2.0,1.0,3.0,8,3.0,0.0,0.0,0.0
CMU_115_115_06_poses_60_jpos,3.0,1.0,2.92,8,2.92,6e-05,0.00431,0.0
CMU_115_115_06_poses_60_jpos,4.0,1.0,1.94,8,1.94,0.0004,0.02586,0.02586
CMU_115_115_06_poses_60_jpos,6.0,1.0,0.04,8,0.04,0.0,0.0,0.0
CMU_115_115_06_poses_60_jpos,8.0,1.0,0.04,8,0.04,0.00647,0.01293,0.01293
CMU_115_115_06_poses_60_jpos,mean,1.0,,56,3.0,0.00099,,
BMLmovi_Subject_74_F_MoSh_Subject_74_F_5_poses_120_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
BMLmovi_Subject_74_F_MoSh_Subject_74_F_5_poses_120_jpos,1.0,1.0,3.0,8,3.0,3e-05,0.00431,0.0
BMLmovi_Subject_74_F_MoSh_Subject_74_F_5_poses_120_jpos,2.0,1.0,3.0,8,3.0,0.0,0.0,0.0
BMLmovi_Subject_74_F_MoSh_Subject_74_F_5_poses_120_jpos,3.0,1.0,2.98,8,2.98,0.00032,0.04741,0.04741
BMLmovi_Subject_74_F_MoSh_Subject_74_F_5_poses_120_jpos,4.0,1.0,1.96,8,1.96,9e-05,0.00862,0.0
BMLmovi_Subject_74_F_MoSh_Subject_74_F_5_poses_120_jpos,6.0,1.0,0.04,8,0.04,0.00647,0.01293,0.01293
BMLmovi_Subject_74_F_MoSh_Subject_74_F_5_poses_120_jpos,8.0,1.0,0.04,8,0.04,0.0,0.0,0.0
BMLmovi_Subject_74_F_MoSh_Subject_74_F_5_poses_120_jpos,mean,1.0,,56,3.0,0.00099,,
CMU_122_122_09_poses_120_jpos,0.0,1.0,3.0,8,3.0,0.00034,0.01724,0.0
CMU_122_122_09_poses_120_jpos,1.0,0.75,2.305,8,2.76,0.00016,0.02155,0.02155
CMU_122_122_09_poses_120_jpos,2.0,1.0,1.76,8,1.76,0.00049,0.0431,0.0431
CMU_122_122_09_poses_120_jpos,3.0,1.0,0.76,8,0.76,0.00091,0.03448,0.03448
CMU_122_122_09_poses_120_jpos,4.0,1.0,0.04,8,0.04,0.00216,0.00431,0.00431
CMU_122_122_09_poses_120_jpos,6.0,1.0,0.04,8,0.04,0.00431,0.00862,0.00862
CMU_122_122_09_poses_120_jpos,8.0,1.0,0.04,8,0.04,0.01293,0.02586,0.02586
CMU_122_122_09_poses_120_jpos,mean,0.9643,,56,3.0,0.00304,,
KIT_317_go_over_beam08_poses_100_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_317_go_over_beam08_poses_100_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_317_go_over_beam08_poses_100_jpos,2.0,1.0,3.0,8,3.0,9e-05,0.00431,0.0
KIT_317_go_over_beam08_poses_100_jpos,3.0,1.0,3.0,8,3.0,0.00014,0.01293,0.0
KIT_317_go_over_beam08_poses_100_jpos,4.0,1.0,2.18,8,2.18,8e-05,0.00862,0.00862
KIT_317_go_over_beam08_poses_100_jpos,6.0,1.0,0.18,8,0.18,0.00048,0.00431,0.00431
KIT_317_go_over_beam08_poses_100_jpos,8.0,1.0,0.04,8,0.04,0.00862,0.01724,0.01724
KIT_317_go_over_beam08_poses_100_jpos,mean,1.0,,56,3.0,0.00134,,
KIT_513_seesaw_up08_poses_100_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_513_seesaw_up08_poses_100_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_513_seesaw_up08_poses_100_jpos,2.0,1.0,3.0,8,3.0,0.0,0.0,0.0
